year,month,tavg
1950,1,2.3774193548387097
1950,2,5.2
1950,3,6.935483870967742
1950,4,12.66
1950,5,16.190322580645162
1950,6,21.296666666666667
1950,7,23.706451612903226
1950,8,23.25483870967742
1950,9,21.803333333333335
1950,10,15.480645161290322
1950,11,11.746666666666666
1950,12,10.790322580645162
1951,1,6.6
1951,2,7.307142857142857
1951,3,9.612903225806452
1951,4,12.983333333333333
1951,5,18.25483870967742
1951,6,21.203333333333333
1951,7,23.20967741935484
1951,8,23.796774193548387
1951,9,21.46333333333333
1951,10,14.196774193548388
1951,11,12.546666666666665
1951,12,6.761290322580645
1952,1,7.232258064516129
1952,2,7.017241379310345
1952,3,7.509677419354839
1952,4,11.383333333333333
1952,5,15.838709677419354
1952,6,20.48
1952,7,22.951612903225808
1952,8,24.61935483870968
1952,9,22.516666666666666
1952,10,17.164516129032258
1952,11,13.313333333333333
1952,12,10.661290322580646
1953,1,7.525806451612904
1953,2,6.1571428571428575
1953,3,4.735483870967743
1953,4,11.243333333333334
1953,5,14.919354838709678
1953,6,21.14
1953,7,23.719354838709677
1953,8,24.151612903225807
1953,9,19.873333333333335
1953,10,16.429032258064517
1953,11,8.666666666666666
1953,12,4.812903225806451
1954,1,2.296774193548387
1954,2,2.6535714285714285
1954,3,7.5
1954,4,9.713333333333333
1954,5,16.76774193548387
1954,6,22.183333333333334
1954,7,24.19677419354839
1954,8,24.65806451612903
1954,9,21.990000000000002
1954,10,16.796774193548387
1954,11,12.3
1954,12,8.54516129032258
1955,1,8.783870967741937
1955,2,10.082142857142857
1955,3,8.806451612903226
1955,4,10.236666666666668
1955,5,16.374193548387098
1955,6,20.933333333333334
1955,7,24.129032258064516
1955,8,23.032258064516128
1955,9,20.793333333333333
1955,10,18.22258064516129
1955,11,11.69
1955,12,8.922580645161291
1956,1,7.264516129032257
1956,2,4.089655172413793
1956,3,4.912903225806452
1956,4,11.923333333333334
1956,5,15.938709677419356
1956,6,20.44333333333333
1956,7,23.47741935483871
1956,8,24.14516129032258
1956,9,19.686666666666667
1956,10,15.370967741935484
1956,11,10.2
1956,12,6.751612903225807
1957,1,4.864516129032259
1957,2,7.142857142857143
1957,3,6.577419354838709
1957,4,10.7
1957,5,15.570967741935483
1957,6,20.836666666666666
1957,7,23.283870967741933
1957,8,24.187096774193545
1957,9,21.446666666666665
1957,10,17.274193548387096
1957,11,12.33
1957,12,7.509677419354839
1958,1,6.193548387096774
1958,2,8.753571428571428
1958,3,7.890322580645161
1958,4,11.31
1958,5,17.338709677419356
1958,6,21.043333333333333
1958,7,22.993548387096773
1958,8,23.39032258064516
1958,9,19.06
1958,10,15.448387096774193
1958,11,12.076666666666666
1958,12,9.5
1959,1,6.225806451612903
1959,2,3.5928571428571425
1959,3,6.987096774193549
1959,4,12.033333333333333
1959,5,15.451612903225806
1959,6,20.08
1959,7,23.58709677419355
1959,8,23.77741935483871
1959,9,18.063333333333333
1959,10,13.36774193548387
1959,11,10.973333333333333
1959,12,9.54516129032258
1960,1,7.199999999999999
1960,2,5.544827586206897
1960,3,7.103225806451612
1960,4,10.473333333333333
1960,5,15.970967741935485
1960,6,20.240000000000002
1960,7,22.406451612903226
1960,8,23.541935483870965
1960,9,19.490000000000002
1960,10,18.270967741935483
1960,11,13.826666666666666
1960,12,11.51290322580645
1961,1,5.903225806451613
1961,2,5.2250000000000005
1961,3,8.164516129032258
1961,4,13.293333333333333
1961,5,17.177419354838708
1961,6,21.87
1961,7,23.451612903225808
1961,8,23.59032258064516
1961,9,19.006666666666668
1961,10,15.616129032258065
1961,11,13.413333333333332
1961,12,8.303225806451612
1962,1,7.1
1962,2,5.417857142857143
1962,3,9.461290322580645
1962,4,11.47
1962,5,17.58709677419355
1962,6,20.57
1962,7,23.503225806451614
1962,8,24.60967741935484
1962,9,20.94333333333333
1962,10,16.583870967741937
1962,11,14.6
1962,12,8.551612903225807
1963,1,4.806451612903226
1963,2,7.796428571428572
1963,3,6.580645161290323
1963,4,10.383333333333333
1963,5,16.058064516129033
1963,6,21.533333333333335
1963,7,24.19677419354839
1963,8,24.90967741935484
1963,9,21.41
1963,10,16.46451612903226
1963,11,13.44
1963,12,7.574193548387097
1964,1,3.3677419354838714
1964,2,4.506896551724138
1964,3,7.012903225806451
1964,4,12.033333333333333
1964,5,15.077419354838709
1964,6,21.276666666666664
1964,7,22.89032258064516
1964,8,22.580645161290324
1964,9,19.336666666666666
1964,10,16.783870967741933
1964,11,11.74
1964,12,9.26774193548387
1965,1,6.835483870967742
1965,2,3.742857142857143
1965,3,7.661290322580645
1965,4,10.34
1965,5,15.803225806451612
1965,6,22.013333333333332
1965,7,22.925806451612903
1965,8,22.01290322580645
1965,9,20.59
1965,10,14.45483870967742
1965,11,12.256666666666666
1965,12,9.712903225806452
1966,1,6.72258064516129
1966,2,9.157142857142857
1966,3,8.66451612903226
1966,4,13.243333333333334
1966,5,16.625806451612902
1966,6,20.523333333333333
1966,7,24.496774193548386
1966,8,24.212903225806453
1966,9,20.209999999999997
1966,10,19.251612903225805
1966,11,15.680000000000001
1966,12,9.33548387096774
1967,1,4.745161290322581
1967,2,3.75
1967,3,7.038709677419354
1967,4,11.536666666666667
1967,5,16.661290322580644
1967,6,19.883333333333333
1967,7,23.95483870967742
1967,8,24.34193548387097
1967,9,20.89333333333333
1967,10,16.838709677419356
1967,11,11.736666666666668
1967,12,8.53225806451613
1968,1,4.325806451612903
1968,2,6.5344827586206895
1968,3,7.351612903225806
1968,4,12.643333333333334
1968,5,18.651612903225807
1968,6,20.976666666666667
1968,7,23.30322580645161
1968,8,22.387096774193548
1968,9,20.23
1968,10,15.296774193548387
1968,11,12.883333333333333
1968,12,8.012903225806452
1969,1,4.848387096774194
1969,2,6.685714285714285
1969,3,6.4
1969,4,10.526666666666667
1969,5,17.403225806451612
1969,6,22.12
1969,7,21.86774193548387
1969,8,23.5258064516129
1969,9,21.613333333333333
1969,10,15.706451612903226
1969,11,12.506666666666666
1969,12,9.83548387096774
1970,1,7.354838709677419
1970,2,8.27142857142857
1970,3,9.04516129032258
1970,4,13.923333333333334
1970,5,16.448387096774194
1970,6,21.103333333333335
1970,7,24.458064516129035
1970,8,23.91290322580645
1970,9,19.89333333333333
1970,10,14.832258064516129
1970,11,12.166666666666666
1970,12,7.864516129032259
1971,1,8.893548387096773
1971,2,6.367857142857143
1971,3,7.996774193548387
1971,4,11.24
1971,5,17.33225806451613
1971,6,21.633333333333333
1971,7,23.061290322580643
1971,8,23.883870967741935
1971,9,20.013333333333332
1971,10,14.025806451612903
1971,11,11.383333333333333
1971,12,7.490322580645161
1972,1,4.648387096774194
1972,2,5.127586206896551
1972,3,7.5
1972,4,14.020000000000001
1972,5,17.12258064516129
1972,6,22.44
1972,7,23.629032258064516
1972,8,23.5
1972,9,19.946666666666665
1972,10,15.12258064516129
1972,11,11.53
1972,12,7.429032258064517
1973,1,4.983870967741935
1973,2,7.982142857142857
1973,3,6.448387096774193
1973,4,11.979999999999999
1973,5,16.703225806451613
1973,6,19.983333333333334
1973,7,24.01290322580645
1973,8,22.416129032258063
1973,9,20.563333333333333
1973,10,16.425806451612903
1973,11,9.92
1973,12,7.754838709677419
1974,1,3.990322580645161
1974,2,6.885714285714286
1974,3,7.512903225806451
1974,4,10.533333333333333
1974,5,16.20967741935484
1974,6,20.633333333333333
1974,7,23.03548387096774
1974,8,22.57741935483871
1974,9,20.513333333333332
1974,10,18.603225806451615
1974,11,12.193333333333333
1974,12,7.951612903225806
1975,1,6.445161290322581
1975,2,5.1571428571428575
1975,3,10.087096774193547
1975,4,13.416666666666666
1975,5,16.629032258064516
1975,6,21.209999999999997
1975,7,23.980645161290322
1975,8,22.89032258064516
1975,9,20.88
1975,10,15.719354838709679
1975,11,10.803333333333335
1975,12,6.445161290322581
